rundate,year,airport_name,pax_current,pax_total,pax_5y_prev,pax_5y_prev_total,growth_5y_pct,cagr_5y
19/03/2024 12:52,2023,HEATHROW,79149042,272829990,80100311,292244892,,
19/03/2024 12:52,2023,GATWICK,40894242,272829990,46081327,292244892,,
19/03/2024 12:52,2023,MANCHESTER,28077659,272829990,28254970,292244892,,
19/03/2024 12:52,2023,STANSTED,27951116,272829990,27995121,292244892,,
19/03/2024 12:52,2023,LUTON,16399866,272829990,16766552,292244892,,
19/03/2024 12:52,2023,EDINBURGH,14395463,272829990,14291811,292244892,,
19/03/2024 12:52,2023,BIRMINGHAM,11479335,272829990,12454642,292244892,,
19/03/2024 12:52,2023,BRISTOL,9911879,272829990,8696653,292244892,,
19/03/2024 12:52,2023,GLASGOW,7355987,272829990,9652516,292244892,,
19/03/2024 12:52,2023,BELFAST INTERNATIONAL,5956888,272829990,6268953,292244892,,
19/03/2024 12:52,2023,NEWCASTLE,4818885,272829990,5332238,292244892,,
19/03/2024 12:52,2023,LIVERPOOL (JOHN LENNON),4193076,272829990,5042312,292244892,,
19/03/2024 12:52,2023,LEEDS BRADFORD,3989405,272829990,4037686,292244892,,
19/03/2024 12:52,2023,EAST MIDLANDS INTERNATIONAL,3932497,272829990,4873757,292244892,,
19/03/2024 12:52,2023,LONDON CITY,3429684,272829990,4820403,292244892,,
19/03/2024 12:52,2023,ABERDEEN,2229918,272829990,3055995,292244892,,
19/03/2024 12:52,2023,BELFAST CITY (GEORGE BEST),2115153,272829990,2510294,292244892,,
19/03/2024 12:52,2023,BOURNEMOUTH,950028,272829990,674972,292244892,,
19/03/2024 12:52,2023,CARDIFF WALES,837252,272829990,1579204,292244892,,
19/03/2024 12:52,2023,INVERNESS,801338,272829990,892971,292244892,,
19/03/2024 12:52,2023,SOUTHAMPTON,754678,272829990,1990930,292244892,,
19/03/2024 12:52,2023,PRESTWICK,523949,272829990,680958,292244892,,
19/03/2024 12:52,2023,EXETER,433067,272829990,931182,292244892,,
19/03/2024 12:52,2023,NEWQUAY,408860,272829990,456511,292244892,,
19/03/2024 12:52,2023,NORWICH,357852,272829990,536578,292244892,,
19/03/2024 12:52,2023,SUMBURGH,258478,272829990,245766,292244892,,
19/03/2024 12:52,2023,TEESSIDE INTERNATIONAL AIRPORT,226326,272829990,139549,292244892,,
19/03/2024 12:52,2023,CITY OF DERRY (EGLINTON),154486,272829990,185843,292244892,,
19/03/2024 12:52,2023,SOUTHEND,146072,272829990,1480139,292244892,,
19/03/2024 12:52,2023,HUMBERSIDE,136976,272829990,191828,292244892,,
19/03/2024 12:52,2023,KIRKWALL,134123,272829990,169683,292244892,,
19/03/2024 12:52,2023,STORNOWAY,105256,272829990,133375,292244892,,
19/03/2024 12:52,2023,ISLES OF SCILLY (ST.MARYS),69404,272829990,92195,292244892,,
19/03/2024 12:52,2023,LANDS END (ST JUST),54336,272829990,63862,292244892,,
19/03/2024 12:52,2023,FARNBOROUGH,38827,272829990,0,292244892,,
19/03/2024 12:52,2023,DUNDEE,32862,272829990,21185,292244892,,
19/03/2024 12:52,2023,BENBECULA,30660,272829990,35404,292244892,,
19/03/2024 12:52,2023,ISLAY,28926,272829990,32508,292244892,,
19/03/2024 12:52,2023,BLACKPOOL,14365,272829990,19321,292244892,,
19/03/2024 12:52,2023,BARRA,12849,272829990,14706,292244892,,
19/03/2024 12:52,2023,TIREE,11707,272829990,12285,292244892,,
19/03/2024 12:52,2023,WICK JOHN O GROATS,10719,272829990,16756,292244892,,
19/03/2024 12:52,2023,CAMPBELTOWN,7082,272829990,8472,292244892,,
19/03/2024 12:52,2023,BIGGIN HILL,6495,272829990,1674,292244892,,
19/03/2024 12:52,2023,LERWICK (TINGWALL),2913,272829990,3881,292244892,,
19/03/2024 12:52,2023,LYDD,7,272829990,284,292244892,,
19/03/2024 12:52,2023,OXFORD (KIDLINGTON),2,272829990,100,292244892,,
19/03/2024 12:52,2023,DONCASTER SHEFFIELD,0,272829990,1222295,292244892,,
19/03/2024 12:52,2023,SCATSTA,0,272829990,174934,292244892,,
