origin_airport,destination_airport,pax_current,pax_previous,pax_growth_pct,scheduled_share,charter_share
GATWICK,ABERDEEN,194917,162333,20.07232,,
GATWICK,BELFAST CITY (GEORGE BEST),233493,165388,41.17892,,
GATWICK,BELFAST INTERNATIONAL,484490,500189,-3.13861,,
GATWICK,BIRMINGHAM,168,472,-64.40678,,
GATWICK,BRISTOL,201,285,-29.47368,,
GATWICK,DONCASTER SHEFFIELD,0,79,-100,,
GATWICK,EAST MIDLANDS INTERNATIONAL,169,113,49.55752,,
GATWICK,EDINBURGH,459436,408754,12.39914,,
GATWICK,FARNBOROUGH,0,40,-100,,
GATWICK,GLASGOW,466131,434363,7.3137,,
GATWICK,GUERNSEY,307579,281889,9.11352,,
GATWICK,HEATHROW,173,78,121.79487,,
GATWICK,INVERNESS,222964,217214,2.64716,,
GATWICK,ISLE OF MAN,160318,150091,6.81387,,
GATWICK,JERSEY,342837,295047,16.19742,,
GATWICK,LEEDS BRADFORD,94,46,104.34783,,
GATWICK,LIVERPOOL (JOHN LENNON),148,331,-55.28701,,
GATWICK,LONDON CITY,38,0,0,,
GATWICK,LUTON,262,0,0,,
GATWICK,MANCHESTER,438,18569,-97.64123,,
GATWICK,NEWCASTLE,0,191,-100,,
GATWICK,NEWQUAY,83948,64519,30.11361,,
GATWICK,NORWICH,0,111,-100,,
GATWICK,STANSTED,339,179,89.38547,,
GATWICK,TEESSIDE INTERNATIONAL AIRPORT,0,43,-100,,
HEATHROW,ABERDEEN,506327,411683,22.98953,,
HEATHROW,BELFAST CITY (GEORGE BEST),564018,598977,-5.83645,,
HEATHROW,BELFAST INTERNATIONAL,0,94,-100,,
HEATHROW,CITY OF DERRY (EGLINTON),46770,0,0,,
HEATHROW,DUNDEE,19552,0,0,,
HEATHROW,EDINBURGH,1049394,732421,43.27743,,
HEATHROW,GLASGOW,858173,694334,23.59657,,
HEATHROW,INVERNESS,159029,132529,19.99562,,
HEATHROW,ISLE OF MAN,33283,20345,63.59302,,
HEATHROW,JERSEY,334880,316997,5.64138,,
HEATHROW,KIRKWALL,2003,0,0,,
HEATHROW,LEEDS BRADFORD,0,6266,-100,,
HEATHROW,MANCHESTER,577540,412547,39.99375,,
HEATHROW,NEWCASTLE,437735,328801,33.13068,,
HEATHROW,NEWQUAY,2697,11704,-76.9566,,
HEATHROW,SOUTHAMPTON,0,41,-100,,
HEATHROW,SUMBURGH,2194,0,0,,
HEATHROW,TEESSIDE INTERNATIONAL AIRPORT,0,5007,-100,,
LONDON CITY,ABERDEEN,1072,4441,-75.86129,,
LONDON CITY,BELFAST CITY (GEORGE BEST),132133,121502,8.74965,,
LONDON CITY,BELFAST INTERNATIONAL,85,0,0,,
LONDON CITY,DUNDEE,9272,29042,-68.07382,,
LONDON CITY,EDINBURGH,342810,304035,12.75347,,
LONDON CITY,GLASGOW,208629,176763,18.02753,,
LONDON CITY,GUERNSEY,0,2601,-100,,
LONDON CITY,ISLE OF MAN,18262,17116,6.69549,,
LONDON CITY,JERSEY,3176,4032,-21.23016,,
LONDON CITY,KIRKWALL,41,0,0,,
LONDON CITY,LIVERPOOL (JOHN LENNON),0,30,-100,,
LONDON CITY,MANCHESTER,100,1034,-90.32882,,
LONDON CITY,SOUTHAMPTON,93,0,0,,
LONDON CITY,SUMBURGH,35,123,-71.54472,,
LUTON,ABERDEEN,80169,67572,18.64234,,
LUTON,BELFAST CITY (GEORGE BEST),30650,0,0,,
LUTON,BELFAST INTERNATIONAL,364837,323881,12.64539,,
LUTON,BIRMINGHAM,0,303,-100,,
LUTON,BRISTOL,0,176,-100,,
LUTON,DUNDEE,0,45,-100,,
LUTON,EDINBURGH,313448,246524,27.14705,,
LUTON,GLASGOW,235998,210698,12.00771,,
LUTON,INVERNESS,150135,116363,29.02297,,
LUTON,ISLE OF MAN,0,131,-100,,
LUTON,JERSEY,101451,77100,31.58366,,
LUTON,LIVERPOOL (JOHN LENNON),374,0,0,,
LUTON,LONDON CITY,203,0,0,,
LUTON,MANCHESTER,255,0,0,,
LUTON,PRESTWICK,0,180,-100,,
LUTON,STANSTED,5,0,0,,
SOUTHEND,GATWICK,0,68,-100,,
SOUTHEND,ISLE OF MAN,13,0,0,,
SOUTHEND,LIVERPOOL (JOHN LENNON),45,0,0,,
STANSTED,ABERDEEN,99,0,0,,
STANSTED,BELFAST INTERNATIONAL,489477,293031,67.03932,,
STANSTED,BIRMINGHAM,349,0,0,,
STANSTED,BRISTOL,180,84,114.28571,,
STANSTED,CITY OF DERRY (EGLINTON),19108,58400,-67.28082,,
STANSTED,EAST MIDLANDS INTERNATIONAL,180,0,0,,
STANSTED,EDINBURGH,599950,265824,125.69444,,
STANSTED,GLASGOW,228389,214969,6.24276,,
STANSTED,HEATHROW,75,0,0,,
STANSTED,INVERNESS,140,0,0,,
STANSTED,JERSEY,3626,5821,-37.7083,,
STANSTED,MANCHESTER,120,185,-35.13514,,
STANSTED,NEWQUAY,27280,0,0,,
STANSTED,PRESTWICK,0,154,-100,,
ABERDEEN,BELFAST CITY (GEORGE BEST),20359,21902,-7.04502,,
ABERDEEN,BELFAST INTERNATIONAL,189,0,0,,
ABERDEEN,BIRMINGHAM,53421,50098,6.633,,
ABERDEEN,BRISTOL,16231,16050,1.12773,,
ABERDEEN,CARDIFF WALES,1,27,-96.2963,,
ABERDEEN,CITY OF DERRY (EGLINTON),27,0,0,,
ABERDEEN,EAST MIDLANDS INTERNATIONAL,202,0,0,,
ABERDEEN,EDINBURGH,169,330,-48.78788,,
ABERDEEN,EXETER,0,5116,-100,,
ABERDEEN,FARNBOROUGH,0,25,-100,,
ABERDEEN,GLASGOW,72,3,2300,,
ABERDEEN,GUERNSEY,358,0,0,,
ABERDEEN,HUMBERSIDE,10737,11175,-3.91946,,
ABERDEEN,INVERNESS,0,83,-100,,
ABERDEEN,ISLAY,0,42,-100,,
ABERDEEN,KIRKWALL,43291,41444,4.45662,,
ABERDEEN,LIVERPOOL (JOHN LENNON),177,0,0,,
ABERDEEN,MANCHESTER,71549,72848,-1.78316,,
ABERDEEN,NEWCASTLE,14397,7348,95.93087,,
ABERDEEN,NEWQUAY,12412,23565,-47.32867,,
ABERDEEN,NORWICH,32898,28598,15.03602,,
ABERDEEN,SOUTHAMPTON,6115,3129,95.42985,,
ABERDEEN,STORNOWAY,16,0,0,,
ABERDEEN,SUMBURGH,100792,91096,10.64372,,
ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,14293,18336,-22.04952,,
