reporting_airport,route,pax_current,pax_growth_pct
GATWICK,ABERDEEN,194917,20.07232
GATWICK,BELFAST CITY (GEORGE BEST),233493,41.17892
GATWICK,BELFAST INTERNATIONAL,484490,-3.13861
GATWICK,BIRMINGHAM,168,-64.40678
GATWICK,BRISTOL,201,-29.47368
GATWICK,DONCASTER SHEFFIELD,0,-100
GATWICK,EAST MIDLANDS INTERNATIONAL,169,49.55752
GATWICK,EDINBURGH,459436,12.39914
GATWICK,FARNBOROUGH,0,-100
GATWICK,GLASGOW,466131,7.3137
GATWICK,GUERNSEY,307579,9.11352
GATWICK,HEATHROW,173,121.79487
GATWICK,INVERNESS,222964,2.64716
GATWICK,ISLE OF MAN,160318,6.81387
GATWICK,JERSEY,342837,16.19742
GATWICK,LEEDS BRADFORD,94,104.34783
GATWICK,LIVERPOOL (JOHN LENNON),148,-55.28701
GATWICK,LONDON CITY,38,0
GATWICK,LUTON,262,0
GATWICK,MANCHESTER,438,-97.64123
GATWICK,NEWCASTLE,0,-100
GATWICK,NEWQUAY,83948,30.11361
GATWICK,NORWICH,0,-100
GATWICK,STANSTED,339,89.38547
GATWICK,TEESSIDE INTERNATIONAL AIRPORT,0,-100
HEATHROW,ABERDEEN,506327,22.98953
HEATHROW,BELFAST CITY (GEORGE BEST),564018,-5.83645
HEATHROW,BELFAST INTERNATIONAL,0,-100
HEATHROW,CITY OF DERRY (EGLINTON),46770,0
HEATHROW,DUNDEE,19552,0
HEATHROW,EDINBURGH,1049394,43.27743
HEATHROW,GATWICK,126,0
HEATHROW,GLASGOW,858173,23.59657
HEATHROW,INVERNESS,159029,19.99562
HEATHROW,ISLE OF MAN,33283,63.59302
HEATHROW,JERSEY,334880,5.64138
HEATHROW,KIRKWALL,2003,0
HEATHROW,LEEDS BRADFORD,0,-100
HEATHROW,MANCHESTER,577540,39.99375
HEATHROW,NEWCASTLE,437735,33.13068
HEATHROW,NEWQUAY,2697,-76.9566
HEATHROW,SOUTHAMPTON,0,-100
HEATHROW,SUMBURGH,2194,0
HEATHROW,TEESSIDE INTERNATIONAL AIRPORT,0,-100
LONDON CITY,ABERDEEN,1072,-75.86129
LONDON CITY,BELFAST CITY (GEORGE BEST),132133,8.74965
LONDON CITY,BELFAST INTERNATIONAL,85,0
LONDON CITY,DUNDEE,9272,-68.07382
LONDON CITY,EDINBURGH,342810,12.75347
LONDON CITY,GATWICK,38,0
LONDON CITY,GLASGOW,208629,18.02753
LONDON CITY,GUERNSEY,0,-100
LONDON CITY,ISLE OF MAN,18262,6.69549
LONDON CITY,JERSEY,3176,-21.23016
LONDON CITY,KIRKWALL,41,0
LONDON CITY,LIVERPOOL (JOHN LENNON),0,-100
LONDON CITY,MANCHESTER,100,-90.32882
LONDON CITY,SOUTHAMPTON,93,0
LONDON CITY,SUMBURGH,35,-71.54472
LUTON,ABERDEEN,80169,18.64234
LUTON,BELFAST CITY (GEORGE BEST),30650,0
LUTON,BELFAST INTERNATIONAL,364837,12.64539
LUTON,BIRMINGHAM,0,-100
LUTON,BRISTOL,0,-100
LUTON,DUNDEE,0,-100
LUTON,EDINBURGH,313448,27.14705
LUTON,GATWICK,1075,26775
LUTON,GLASGOW,235998,12.00771
LUTON,HEATHROW,0,-100
LUTON,INVERNESS,150135,29.02297
LUTON,ISLE OF MAN,0,-100
LUTON,JERSEY,101451,31.58366
LUTON,LIVERPOOL (JOHN LENNON),374,0
LUTON,LONDON CITY,203,0
LUTON,MANCHESTER,255,0
LUTON,PRESTWICK,0,-100
LUTON,STANSTED,5,0
SOUTHEND,GATWICK,0,-100
SOUTHEND,ISLE OF MAN,13,0
SOUTHEND,LIVERPOOL (JOHN LENNON),45,0
STANSTED,ABERDEEN,99,0
STANSTED,BELFAST INTERNATIONAL,489477,67.03932
STANSTED,BIRMINGHAM,349,0
STANSTED,BRISTOL,180,114.28571
STANSTED,CITY OF DERRY (EGLINTON),19108,-67.28082
STANSTED,EAST MIDLANDS INTERNATIONAL,180,0
STANSTED,EDINBURGH,599950,125.69444
STANSTED,GATWICK,701,8.17901
STANSTED,GLASGOW,228389,6.24276
STANSTED,HEATHROW,75,0
STANSTED,INVERNESS,140,0
STANSTED,JERSEY,3626,-37.7083
STANSTED,LONDON CITY,98,0
STANSTED,MANCHESTER,120,-35.13514
STANSTED,NEWQUAY,27280,0
STANSTED,PRESTWICK,0,-100
ABERDEEN,BELFAST CITY (GEORGE BEST),20359,-7.04502
ABERDEEN,BELFAST INTERNATIONAL,189,0
ABERDEEN,BIRMINGHAM,53421,6.633
ABERDEEN,BRISTOL,16231,1.12773
ABERDEEN,CITY OF DERRY (EGLINTON),27,0
ABERDEEN,EDINBURGH,169,-48.78788
ABERDEEN,EXETER,0,-100
ABERDEEN,FARNBOROUGH,0,-100
ABERDEEN,GATWICK,194377,20.08587
ABERDEEN,GLASGOW,72,2300
ABERDEEN,GUERNSEY,358,0
ABERDEEN,HEATHROW,504448,23.27814
ABERDEEN,HUMBERSIDE,10737,-3.91946
ABERDEEN,INVERNESS,0,-100
ABERDEEN,ISLAY,0,-100
ABERDEEN,KIRKWALL,43291,4.45662
ABERDEEN,LIVERPOOL (JOHN LENNON),177,0
ABERDEEN,LONDON CITY,1140,-45.97156
ABERDEEN,LUTON,80144,19.01573
ABERDEEN,MANCHESTER,71549,-1.78316
ABERDEEN,NEWCASTLE,14397,95.93087
ABERDEEN,NEWQUAY,12412,-47.32867
ABERDEEN,NORWICH,32898,15.03602
ABERDEEN,SOUTHAMPTON,6115,95.42985
ABERDEEN,STANSTED,40,0
ABERDEEN,STORNOWAY,16,0
ABERDEEN,SUMBURGH,100792,10.64372
ABERDEEN,TEESSIDE INTERNATIONAL AIRPORT,14293,-22.04952
ABERDEEN,WICK JOHN O GROATS,10785,51.05042
ALDERNEY,GUERNSEY,32228,-4.61702
ALDERNEY,JERSEY,104,76.27119
ALDERNEY,SOUTHAMPTON,17214,0.80225
BARRA,GLASGOW,12836,-2.03022
BARRA,TIREE,13,0
BELFAST CITY (GEORGE BEST),ABERDEEN,20164,-7.3601
BELFAST CITY (GEORGE BEST),BELFAST INTERNATIONAL,11,175
BELFAST CITY (GEORGE BEST),BIRMINGHAM,146122,3.92745
BELFAST CITY (GEORGE BEST),BRISTOL,43711,308.1707
BELFAST CITY (GEORGE BEST),BRIZE NORTON,12,0
BELFAST CITY (GEORGE BEST),CARDIFF WALES,35463,152.17237
BELFAST CITY (GEORGE BEST),DUNDEE,3038,-55.38913
BELFAST CITY (GEORGE BEST),EAST MIDLANDS INTERNATIONAL,37161,106.65666
BELFAST CITY (GEORGE BEST),EDINBURGH,116994,38.75823
BELFAST CITY (GEORGE BEST),EXETER,30548,57.7078
BELFAST CITY (GEORGE BEST),GATWICK,228774,39.58827
BELFAST CITY (GEORGE BEST),GLASGOW,103076,61.38659
BELFAST CITY (GEORGE BEST),GUERNSEY,0,-100
