rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_shd_tp,total_pax_cht_tp,total_pax_tp,total_pax_lp,total_pax_pc
19/03/2024 13:20,2023,2022,1,1,London Area Airports,GATWICK,2959351,436,2959787,2701202,9.572960482
19/03/2024 13:20,2023,2022,1,1,London Area Airports,HEATHROW,4593627,94,4593721,3671746,25.109988545
19/03/2024 13:20,2023,2022,1,1,London Area Airports,LONDON CITY,714559,100,714659,659981,8.284783956
19/03/2024 13:20,2023,2022,1,1,London Area Airports,LUTON,1278345,143,1278488,1042920,22.587350899
19/03/2024 13:20,2023,2022,1,1,London Area Airports,SOUTHEND,13,45,58,128,-54.687500000
19/03/2024 13:20,2023,2022,1,1,London Area Airports,STANSTED,1369941,300,1370241,839488,63.223417130
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,ABERDEEN,1155302,32931,1188233,1038837,14.381081921
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BARRA,12849,0,12849,13102,-1.931002900
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2034538,317,2034855,1598710,27.281057853
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BELFAST INTERNATIONAL,3945712,2025,3947737,3351734,17.781930189
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BENBECULA,30660,0,30660,30230,1.422428052
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BIGGIN HILL,0,1293,1293,646,100.154798762
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BIRMINGHAM,1029430,1642,1031072,971314,6.152284431
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BOURNEMOUTH,48736,1867,50603,1772,2755.699774266
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,BRISTOL,1367317,227,1367544,1151585,18.753196681
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,CAMPBELTOWN,7072,0,7072,5793,22.078370447
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,CARDIFF WALES,66896,2328,69224,36802,88.098472909
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,CITY OF DERRY (EGLINTON),149101,810,149911,158804,-5.599984887
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,DONCASTER SHEFFIELD,0,0,0,422,
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,DUNDEE,32550,121,32671,36529,-10.561471707
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,EAST MIDLANDS INTERNATIONAL,120266,321,120587,72713,65.839671035
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,EDINBURGH,4283999,2388,4286387,3072074,39.527465810
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,EXETER,137121,233,137354,136040,0.965892385
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,FARNBOROUGH,0,4278,4278,0,
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,GLASGOW,3238735,1379,3240114,2910708,11.317040390
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,HUMBERSIDE,13092,2653,15745,16006,-1.630638511
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,INVERNESS,709132,826,709958,642008,10.583980262
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,ISLAY,28926,0,28926,26148,10.624139514
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,ISLES OF SCILLY (ST.MARYS),69404,0,69404,86846,-20.083826544
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,KIRKWALL,133629,2,133631,123025,8.621011989
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,LANDS END (ST JUST),54336,0,54336,63629,-14.604975719
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,LEEDS BRADFORD,170051,501,170552,149309,14.227541541
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,LERWICK (TINGWALL),2913,0,2913,2886,0.935550936
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,LIVERPOOL (JOHN LENNON),815385,4333,819718,738384,11.015135756
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,MANCHESTER,1767831,1500,1769331,1395792,26.761795454
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,NEWCASTLE,897535,364,897899,722024,24.358608578
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,NEWQUAY,242147,62,242209,170265,42.254133263
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,NORWICH,37242,527,37769,43067,-12.301762370
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,PRESTWICK,0,274,274,714,-61.624649860
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,SOUTHAMPTON,528224,1457,529681,486545,8.865778088
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,STORNOWAY,104996,231,105227,101106,4.075920321
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,SUMBURGH,143500,37843,181343,170533,6.338949060
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,17802,1344,19146,39222,-51.185559125
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,TIREE,11707,0,11707,10982,6.601711892
19/03/2024 13:20,2023,2022,1,3,Other UK Airports,WICK JOHN O GROATS,10674,37,10711,6935,54.448449892
19/03/2024 13:20,2023,2022,2,4,Non UK Reporting Airports,ALDERNEY,49546,0,49546,50924,-2.705993245
19/03/2024 13:20,2023,2022,2,4,Non UK Reporting Airports,GUERNSEY,669188,1033,670221,634004,5.712424527
19/03/2024 13:20,2023,2022,2,4,Non UK Reporting Airports,ISLE OF MAN,590805,674,591479,523103,13.071230714
19/03/2024 13:20,2023,2022,2,4,Non UK Reporting Airports,JERSEY,1409756,515,1410271,1290454,9.284871836

