rundate,this_period,last_period,grp_cd,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,ABERDEEN,194917,194917,0,162333,162333,0,20.07232
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,BELFAST CITY (GEORGE BEST),233493,233493,0,165388,165388,0,41.17892
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,BELFAST INTERNATIONAL,484490,484490,0,500189,499830,359,-3.13861
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,BIRMINGHAM,168,168,0,472,50,422,-64.40678
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,BRISTOL,201,201,0,285,0,285,-29.47368
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,DONCASTER SHEFFIELD,0,0,0,79,0,79,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,EAST MIDLANDS INTERNATIONAL,169,169,0,113,0,113,49.55752
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,EDINBURGH,459436,459436,0,408754,408265,489,12.39914
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,FARNBOROUGH,0,0,0,40,0,40,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,GLASGOW,466131,465944,187,434363,434182,181,7.3137
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,GUERNSEY,307579,307579,0,281889,281889,0,9.11352
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,HEATHROW,173,173,0,78,78,0,121.79487
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,INVERNESS,222964,222964,0,217214,217214,0,2.64716
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,ISLE OF MAN,160318,160318,0,150091,150091,0,6.81387
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,JERSEY,342837,342837,0,295047,295047,0,16.19742
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,LEEDS BRADFORD,94,0,94,46,0,46,104.34783
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,LIVERPOOL (JOHN LENNON),148,148,0,331,0,331,-55.28701
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,LONDON CITY,38,38,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,LUTON,262,262,0,0,0,0,0
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,MANCHESTER,438,283,155,18569,17555,1014,-97.64123
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,NEWCASTLE,0,0,0,191,0,191,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,NEWQUAY,83948,83948,0,64519,64519,0,30.11361
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,NORWICH,0,0,0,111,0,111,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,STANSTED,339,339,0,179,0,179,89.38547
19/03/2024 13:27,2023,2022,A,London Area Airports,GATWICK,TEESSIDE INTERNATIONAL AIRPORT,0,0,0,43,0,43,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,HEATHROW,ABERDEEN,506327,506327,0,411683,411683,0,22.98953
19/03/2024 13:27,2023,2022,A,London Area Airports,HEATHROW,BELFAST CITY (GEORGE BEST),564018,564018,0,598977,598977,0,-5.83645
19/03/2024 13:27,2023,2022,A,London Area Airports,HEATHROW,BELFAST INTERNATIONAL,0,0,0,94,94,0,-100
19/03/2024 13:27,2023,2022,A,London Area Airports,HEATHROW,CITY OF DERRY (EGLINTON),46770,46770,0,0,0,0,0
