airport_cluster,airport_name,scheduled_pax,charter_pax,total_domestic_pax,domestic_yoy_pct,scheduled_share
1,GATWICK,2959351,436,2959787,9.572960482,
1,HEATHROW,4593627,94,4593721,25.10998855,
1,LONDON CITY,714559,100,714659,8.284783956,
1,LUTON,1278345,143,1278488,22.5873509,
1,SOUTHEND,13,45,58,-54.6875,
1,STANSTED,1369941,300,1370241,63.22341713,
1,ABERDEEN,1155302,32931,1188233,14.38108192,
1,BARRA,12849,0,12849,-1.9310029,
1,BELFAST CITY (GEORGE BEST),2034538,317,2034855,27.28105785,
1,BELFAST INTERNATIONAL,3945712,2025,3947737,17.78193019,
1,BENBECULA,30660,0,30660,1.422428052,
1,BIGGIN HILL,0,1293,1293,100.1547988,
1,BIRMINGHAM,1029430,1642,1031072,6.152284431,
1,BOURNEMOUTH,48736,1867,50603,2755.699774,
1,BRISTOL,1367317,227,1367544,18.75319668,
1,CAMPBELTOWN,7072,0,7072,22.07837045,
1,CARDIFF WALES,66896,2328,69224,88.09847291,
1,CITY OF DERRY (EGLINTON),149101,810,149911,-5.599984887,
1,DONCASTER SHEFFIELD,0,0,0,,
1,DUNDEE,32550,121,32671,-10.56147171,
1,EAST MIDLANDS INTERNATIONAL,120266,321,120587,65.83967104,
1,EDINBURGH,4283999,2388,4286387,39.52746581,
1,EXETER,137121,233,137354,0.965892385,
1,FARNBOROUGH,0,4278,4278,,
1,GLASGOW,3238735,1379,3240114,11.31704039,
1,HUMBERSIDE,13092,2653,15745,-1.630638511,
1,INVERNESS,709132,826,709958,10.58398026,
1,ISLAY,28926,0,28926,10.62413951,
1,ISLES OF SCILLY (ST.MARYS),69404,0,69404,-20.08382654,
1,KIRKWALL,133629,2,133631,8.621011989,
1,LANDS END (ST JUST),54336,0,54336,-14.60497572,
1,LEEDS BRADFORD,170051,501,170552,14.22754154,
1,LERWICK (TINGWALL),2913,0,2913,0.935550936,
1,LIVERPOOL (JOHN LENNON),815385,4333,819718,11.01513576,
1,MANCHESTER,1767831,1500,1769331,26.76179545,
1,NEWCASTLE,897535,364,897899,24.35860858,
1,NEWQUAY,242147,62,242209,42.25413326,
1,NORWICH,37242,527,37769,-12.30176237,
1,PRESTWICK,0,274,274,-61.62464986,
1,SOUTHAMPTON,528224,1457,529681,8.865778088,
1,STORNOWAY,104996,231,105227,4.075920321,
1,SUMBURGH,143500,37843,181343,6.33894906,
1,TEESSIDE INTERNATIONAL AIRPORT,17802,1344,19146,-51.18555913,
1,TIREE,11707,0,11707,6.601711892,
1,WICK JOHN O GROATS,10674,37,10711,54.44844989,
2,ALDERNEY,49546,0,49546,-2.705993245,
2,GUERNSEY,669188,1033,670221,5.712424527,
2,ISLE OF MAN,590805,674,591479,13.07123071,
2,JERSEY,1409756,515,1410271,9.284871836,
